key,first_temp,last_temp,active_power,reactive_power,time_heating,full_work,full_power,bulk_1,bulk_2,bulk_3,bulk_4,bulk_5,bulk_6,bulk_7,bulk_9,bulk_10,bulk_11,bulk_12,bulk_13,bulk_14,bulk_15,wire_1,wire_2,wire_3,wire_4,wire_6,wire_7,wire_8,wire_9,gas_1
2241,1586.0,1583.0,2.760536,2.038241,619.0,738.6379255528719,3.9039874506191743,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0,93.038399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927507763
2242,1574.0,1593.0,3.5421130000000005,2.805517,1109.0,1092.2910818419034,5.009304244058051,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,460.0,0.0,197.0,0.0,55.080479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0062243864
2243,1580.0,1585.0,2.263747,1.639527,683.0,582.5272292097154,3.201421709181407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,197.0,0.0,58.05072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9672655466
2244,1593.0,1579.0,1.936404,1.592995,532.0,458.8164399379574,2.7384887990335107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.0,0.0,198.0,0.0,35.075039000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9893652496000005
2245,1598.0,1585.0,1.216715,1.1066410000000002,510.0,439.15587611664637,1.7206948545427805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,513.0,0.0,194.0,0.0,105.094078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1905810414
2247,1584.0,1594.0,3.219338,2.481135,734.0,927.4857906177821,4.552831461463075,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,99.0,106.0,85.088638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5867082128
2248,1596.0,1592.0,2.61665,2.030013,625.0,578.6115858109151,3.700501917983559,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,205.0,0.0,96.0,106.0,112.08288600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6200291205
2249,1591.0,1592.0,1.797518,1.321114,861.0,726.4104187179191,2.542074334209761,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,97.0,106.0,93.038399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8815953218
2250,1640.0,1591.0,0.734273,0.524675,272.0,128.92892760414446,1.0384188350843797,0.0,0.0,0.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.053116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.769305753
2251,1603.0,1592.0,1.526219,1.096567,469.0,339.629070728206,2.1583996089515027,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,149.0,105.0,112.08288600000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1776220398
